k,MyResults,BetterResults
1,95.56,95.56
2,91.11,95.56
3,93.33,97.78
4,91.11,91.11
5,86.67,97.78
6,88.89,93.33
7,93.33,95.56
8,88.89,97.78
9,77.78,91.11
10,84.44,97.78
11,62.22,97.78
12,84.44,95.56
13,86.67,95.56
14,84.44,95.56
15,77.78,95.56
16,62.22,100
17,62.22,100
18,62.22,97.78
19,66.67,97.78
20,71.11,93.33
21,53.33,100
22,62.22,100
23,64.44,100
24,66.67,95.56
25,71.11,93.33
26,48.89,100
27,57.78,95.56
28,48.89,95.56
29,42.22,95.56
30,31.11,93.33
31,48.89,97.78
32,33.33,97.78
33,57.78,95.56
34,44.44,95.56
35,37.78,93.33
36,33.33,97.78
37,44.44,100
38,40,95.56
39,35.56,93.33
40,48.89,93.33
41,37.78,97.78
42,37.78,93.33
43,35.56,97.78
44,42.22,97.78
45,42.22,95.56
46,33.33,100
47,46.67,93.33
48,42.22,97.78
49,42.22,97.78
50,33.33,97.78
51,44.44,95.56
52,26.67,95.56
53,37.78,93.33
54,40,100
55,31.11,100
56,35.56,97.78
57,37.78,100
58,51.11,93.33
59,42.22,97.78
60,40,97.78
61,20,53.33
62,26.67,97.78
63,33.33,97.78
64,75.56,57.78
65,33.33,97.78
66,0,55.56
67,53.33,53.33
68,37.78,93.33
69,60,60
70,0,24.44
71,64.44,64.44
72,64.44,64.44
73,0,24.44
74,26.67,26.67
75,57.78,57.78
76,60,60
77,33.33,33.33
78,64.44,64.44
79,57.78,57.78
80,62.22,62.22
81,57.78,57.78
82,64.44,64.44
83,17.78,17.78
84,53.33,53.33
85,62.22,62.22
86,22.22,22.22
87,57.78,57.78
88,53.33,53.33
89,28.89,28.89
90,28.89,28.89
91,57.78,57.78
92,31.11,31.11
93,22.22,22.22
94,24.44,24.44
95,57.78,57.78
96,60,60
97,62.22,62.22
98,26.67,26.67
99,62.22,62.22
100,22.22,22.22
101,31.11,31.11
102,28.89,28.89
103,26.67,26.67
104,26.67,26.67
105,28.89,28.89
